trip_date,percentage_zero,percentage_1p,percentage_2p,percentage_3p,percentage_4p_plus,percentage_zero_min,percentage_zero_max,percentage_1p_min,percentage_1p_max,percentage_2p_min,percentage_2p_max,percentage_3p_min,percentage_3p_max,percentage_4p_plus_min,percentage_4p_plus_max
2020-01-01,1.5081396,63.452568,19.53685,5.749442,9.752999,3.3,145.55,3.3,465.3,3.3,281.42,3.3,433.04,3.3,350.42
2020-01-02,1.6915656,68.7556,16.026663,4.7582436,8.767927,3.8,162.42,3.3,390.96,3.3,210.65,3.3,215.54,3.8,352.3
2020-01-03,1.7585801,68.834335,16.332792,4.591008,8.483288,3.3,187.42,3.3,358.92,3.3,370.3,3.8,409.59,3.3,226.1
2020-01-04,1.6765958,65.64096,18.396168,5.1493845,9.1368885,3.3,152.54,3.3,965.8,3.3,481.3,3.8,158.8,3.3,577.8
2020-01-05,1.6806041,67.61636,17.418701,4.787005,8.497324,3.3,435.42,3.3,596.42,3.3,375.3,3.3,333.34,3.3,255.42
2020-01-06,1.8122121,73.68754,13.578249,3.7143388,7.207662,3.3,275.42,3.3,581.06,3.3,276.36,3.3,200.3,3.3,181.8
2020-01-07,1.7555629,73.9029,13.708046,3.4827437,7.1507454,3.3,114.8,3.3,410.67,3.3,312.96,3.3,225.3,3.75,242.8
2020-01-08,1.8268744,73.96525,13.572841,3.517151,7.1178846,3.3,319.03,3.3,914.55,3.3,282.36,3.3,182.05,3.3,253.67
2020-01-09,1.8478421,74.03958,13.58626,3.4907653,7.0355506,3.3,114.75,3.3,620.3,3.3,226.7,4.3,230.3,3.3,333.04
2020-01-10,1.8126106,71.91475,14.890825,3.9502473,7.4315677,3.3,253.3,3,303.8,3.3,245.05,3.3,187.55,3.3,280.8
2020-01-11,1.6678383,67.275925,18.062193,4.670419,8.323622,3.3,143.45,3.3,416.15,3.3,228.02,3.8,250.3,3.3,424.29
2020-01-12,1.6466843,68.757774,17.077093,4.5846252,7.933823,3.3,161.8,3.3,380.53,3.3,431.6,3.3,331.42,3.3,658.35
2020-01-13,1.7741516,74.67195,13.082281,3.5340667,6.937551,3.3,276.29,3.3,375.29,3.3,400.3,3.8,178.92,3.3,300.3
2020-01-14,1.8226599,74.393585,13.222895,3.4490407,7.111818,3.3,172.3,3,340.01,3.3,330.5,3.8,167.17,3.3,412.09
2020-01-15,1.8049055,74.389175,13.417537,3.3547392,7.033642,3.3,322.8,3.3,381.79,3.3,408.95,3.3,184.67,3.3,179.16
2020-01-16,1.8312701,74.03649,13.567814,3.457356,7.107072,3.3,112.36,3.3,395.45,3.8,291.35,3.8,207.95,3.3,156.04
2020-01-17,1.788702,72.170654,14.729992,3.9654114,7.345238,3.3,281.3,3.3,769.8,3.3,360.96,3.3,149.89,3.3,351.29
2020-01-18,1.7202729,66.91485,17.920404,4.723224,8.721246,3.8,166.92,3.3,446.46,3.3,387.6,4.3,435.54,3.3,384.66
2020-01-19,1.8379569,67.07174,17.675844,4.9214134,8.493051,3.3,160.92,3.3,464.8,3.3,407.8,3.8,499.56,3.3,222.36
2020-01-20,1.8307809,70.792305,15.535376,4.2475634,7.5939755,3.3,226.3,3.3,471.79,3.3,617.3,3.8,409.89,3.3,240.2
2020-01-21,1.929194,74.23337,13.266993,3.4086432,7.1618023,3.3,216.12,3.3,372.67,3.3,335,3.8,240.06,3.3,406.42
2020-01-22,1.9007173,74.55498,13.204277,3.3226736,7.0173573,3.8,246.42,3.3,1110.8,3.3,294.96,3.8,144.2,3.3,264.2
2020-01-23,1.857801,74.050804,13.429563,3.4119995,7.249837,3.8,194.29,3.3,400.3,3.3,312.88,3.3,170.74,3.3,367.35
2020-01-24,1.9369631,72.014175,14.799979,3.8172667,7.4316134,3.3,163.02,3.3,735.17,3.3,308.47,3.8,275.69,3.3,184.1
2020-01-25,1.695171,66.86188,18.102854,4.7449245,8.595175,4.3,140.05,3.3,350.3,3.3,173.72,3.8,272.23,3.3,153.8
2020-01-26,1.7645427,68.442276,17.150833,4.5835667,8.058785,3.3,186.35,3.3,357.42,3.3,345.34,3.3,173.16,3.3,217.86
2020-01-27,1.8857911,74.384224,13.111717,3.4986243,7.1196465,3.3,156.17,3.3,425.92,3.3,234.1,3.8,318.29,3.3,238.55
2020-01-28,1.8712155,74.538734,13.22351,3.2581108,7.108433,3.3,143.05,3.3,587.3,3.3,298.12,3.8,156.36,3.3,294.8
2020-01-29,1.8329021,74.7577,13.065175,3.2830856,7.061136,3.3,209.17,3.3,499.8,3.8,454.19,3.3,231.92,3.3,227.66
2020-01-30,1.8804485,74.49576,13.182099,3.3854814,7.056211,3.3,137.35,3.3,349.1,3.3,243.49,3.8,212.9,3.3,411.82
2020-01-31,1.7975842,72.65442,14.636231,3.7292385,7.1825266,3.8,159.77,3.3,906.35,3.3,272.8,3.3,135.36,3.3,293.16
